commit	composite	mode	status	description
450d17a	0.8872	BASELINE	keep	First real evaluation — build=1.0 tags=0.9 gulp=0.8 identity=1.0 content=1.0 ipad=0.68 lighthouse=0.62
740dbdc	0.9730	IMPROVE	discard	unknown
d897c66	0.9745	IMPROVE	discard	C43: browser-check-fix + galileo-breve-didattico
4a98017	0.9580	IMPROVE	keep	Progressive disclosure — CSS fade + toast sblocco + changedComponent milestone
489dd39	0.9655	IMPROVE	keep	Fix Galileo loadexp tag — tutor.yml riga 6 bloccava [AZIONE:loadexp] anche per r
7f5e5f9	0.4500	IMPROVE	keep	Font self-hosted: rimosso Google Fonts CDN da index.html e src/index.css, attiva
83bea86	0.9445	IMPROVE	keep	Fase 0.3: Chat UNLIM minimizzata per default, eliminare Sono qui
83bea86	0.9415	IMPROVE	keep	Fase 0.2: Nascondere Dev/Dashboard/Admin dal menu per utenti normali
d463400	0.9415	IMPROVE	keep	Fase 0.4: Eliminare toggle Modalità Guida OFF
da5c5cd	0.9430	IMPROVE	keep	Catastrofe Onboarding - eliminato redirect Netlify, VetrinaSimulatore renderizza
pending	0.9430	IMPROVE	keep	C7: galileo-breve-didattico — max 3 frasi, esempio quotidiano obbligatorio, domanda alla classe obbligatoria
08ef503	0.9430	IMPROVE	keep	galileo-breve-didattico
pending	0.9430	IMPROVE	keep	C8: GDPR-COMPLIANCE.md — gap analysis 6 gap (2 blocker), piano rimedio 3 fasi, 11 fonti verificate
08ef503	0.9445	IMPROVE	keep	gdpr-reale-scuole
08ef503	0.9415	IMPROVE	keep	Landing page /scuole/pnrr con info bandi PNRR Scuola 4.0 e guida acquisto MePA
08ef503	0.9415	IMPROVE	keep	Fix routing ibrido pathname/hash — deep link rotti
08ef503	0.9430	IMPROVE	keep	Fix commento JS // renderizzato come testo visibile nella landing page VetrinaSi
08ef503	0.9460	IMPROVE	keep	unknown
08ef503	0.9415	IMPROVE	keep	ridurre-densita-cognitiva
08ef503	0.9415	IMPROVE	keep	Fix Onboarding: Rimuovere Progressive Disclosure di default
08ef503	0.9445	IMPROVE	keep	Split NewElabSimulator.jsx — sotto 2000 LOC
08ef503	0.9445	IMPROVE	keep	Welcome card onboarding nel placeholder simulatore — 3 passi (Scegli/Guarda/Chie
08ef503	0.9460	IMPROVE	keep	Mistral GDPR-safe fallback provider + EU-only mode
08ef503	0.9415	IMPROVE	keep	GAP-6 fix: pseudonymizeUserId btoa→SHA-256 + GDPR-COMPLIANCE.md aggiornato
08ef503	0.9415	IMPROVE	keep	Landing PNRR: 2 errori fattuali corretti (D.M. 218/2022, 750M non 1.1B), pivot t
350f8d2	0.9460	IMPROVE	keep	Rimuovere 39 console.log/warn/error dal codice produzione — 9 file, sostituzione
350f8d2	0.9438	IMPROVE	keep	Rimuovere 3+ componenti React non usati
f034c6c	0.9513	IMPROVE	keep	G26: Increase pin/component hit tolerance to 16px for LIM touch
